ID_Cliente,Churn,Genero,Idoso,Parceiro,Dependentes,Meses_Contrato,Servico_Telefone,Multiplas_Linhas,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Fatura_Online,Metodo_Pagamento,Gasto_Mensal,Gasto_Total
0019-GFNTW,Nao,Feminino,0,Nao,Nao,56,Nao,Sem servico de telefone,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Nao,Bank transfer (automatic),45.05,2560.1
0020-INWCK,Nao,Feminino,0,Sim,Sim,71,Sim,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Sim,Credit card (automatic),95.75,6849.4
0020-JDNXP,Nao,Feminino,0,Sim,Sim,34,Nao,Sem servico de telefone,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Nao,Mailed check,61.25,1993.2
0021-IKXGC,Nao,Feminino,1,Nao,Nao,1,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,72.1,72.1
0022-TCJCI,Sim,Masculino,1,Nao,Nao,45,Sim,No,DSL,Yes,No,Yes,No,No,Yes,One year,Nao,Credit card (automatic),62.7,2791.5
0023-HGHWL,Sim,Masculino,1,Nao,Nao,1,Nao,Sem servico de telefone,DSL,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,25.1,25.1
0023-UYUPN,Nao,Feminino,1,Sim,Nao,50,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Electronic check,25.2,1306.3
0023-XUOPT,Sim,Feminino,0,Sim,Nao,13,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Nao,Electronic check,94.1,1215.6
0027-KWYKW,Nao,Feminino,0,Sim,Sim,23,Sim,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sim,Electronic check,83.75,1849.95
0030-FNXPP,Nao,Feminino,0,Nao,Nao,3,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.85,57.2
0031-PVLZI,Sim,Feminino,0,Sim,Sim,4,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,20.35,76.35
0032-PGELS,Sim,Feminino,0,Sim,Sim,1,Nao,Sem servico de telefone,DSL,Yes,No,No,No,No,No,Month-to-month,Nao,Bank transfer (automatic),30.5,30.5
0036-IHMOT,Nao,Feminino,0,Sim,Sim,55,Sim,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Sim,Bank transfer (automatic),103.7,5656.75
0040-HALCW,Nao,Masculino,0,Sim,Sim,54,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),20.4,1090.6
0042-JVWOJ,Nao,Masculino,0,Nao,Nao,26,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Sim,Bank transfer (automatic),19.6,471.85
0042-RLHYP,Nao,Feminino,0,Sim,Sim,69,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Bank transfer (automatic),19.7,1396.9
0048-LUMLS,Nao,Masculino,0,Sim,Sim,37,Sim,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Nao,Credit card (automatic),91.2,3247.55
0048-PIHNL,Nao,Feminino,0,Sim,Nao,49,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Bank transfer (automatic),20.45,900.9
0052-DCKON,Nao,Masculino,0,Sim,Nao,66,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Nao,Bank transfer (automatic),115.8,7942.15
0052-YNYOT,Nao,Feminino,0,Nao,Nao,67,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Electronic check,20.55,1343.4
0056-EPFBG,Nao,Masculino,0,Sim,Sim,20,Nao,Sem servico de telefone,DSL,Yes,No,Yes,Yes,No,No,Two year,Sim,Credit card (automatic),39.4,825.4
0057-QBUQH,Nao,Feminino,0,Nao,Sim,43,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Sim,Electronic check,25.1,1070.15
0058-EVZWM,Nao,Feminino,0,Sim,Nao,55,Sim,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Sim,Bank transfer (automatic),89.8,4959.6
0060-FUALY,Nao,Feminino,0,Sim,Nao,59,Sim,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Sim,Electronic check,94.75,5597.65
0064-SUDOG,Nao,Feminino,0,Sim,Sim,12,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Bank transfer (automatic),20.3,224.5
0064-YIJGF,Nao,Masculino,0,Sim,Sim,27,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Bank transfer (automatic),75.75,1929.0
0067-DKWBL,Sim,Masculino,1,Nao,Nao,2,Sim,No,DSL,Yes,No,No,No,No,No,Month-to-month,Sim,Electronic check,49.25,91.1
0068-FIGTF,Nao,Feminino,0,Nao,Nao,27,Sim,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Nao,Mailed check,78.2,2078.95
0071-NDAFP,Nao,Masculino,0,Sim,Sim,25,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),25.5,630.6
0074-HDKDG,Nao,Masculino,0,Sim,Sim,25,Sim,No,DSL,Yes,Yes,Yes,No,No,No,One year,Sim,Bank transfer (automatic),61.6,1611.0
0076-LVEPS,Nao,Masculino,0,Nao,Sim,29,Nao,Sem servico de telefone,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Sim,Mailed check,45.0,1242.45
0078-XZMHT,Nao,Masculino,0,Sim,Nao,72,Sim,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Bank transfer (automatic),85.15,6316.2
0080-EMYVY,Nao,Feminino,0,Nao,Nao,14,Sim,No,DSL,No,Yes,No,No,No,No,One year,Nao,Credit card (automatic),51.45,727.85
0080-OROZO,Nao,Feminino,0,Nao,Nao,35,Sim,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Sim,Electronic check,99.25,3532.0
0082-LDZUE,Nao,Masculino,0,Nao,Nao,1,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Mailed check,44.3,44.3
0082-OQIQY,Nao,Masculino,0,Nao,Nao,29,Sim,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Electronic check,94.2,2607.6
0083-PIVIK,Nao,Masculino,0,Nao,Nao,64,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Nao,Electronic check,81.25,5567.55
0089-IIQKO,Nao,Feminino,0,Sim,Sim,39,Sim,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Credit card (automatic),99.95,3767.4
0093-EXYQL,Nao,Feminino,1,Nao,Nao,40,Sim,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,91.55,3673.6
0093-XWZFY,Sim,Masculino,0,Nao,Nao,40,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sim,Credit card (automatic),104.5,4036.85
0094-OIFMO,Sim,Feminino,1,Nao,Nao,11,Sim,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,95.0,1120.3
0096-BXERS,Nao,Feminino,0,Sim,Nao,6,Sim,Yes,DSL,No,No,No,No,No,No,Month-to-month,Nao,Electronic check,50.35,314.55
0096-FCPUF,Nao,Masculino,0,Nao,Nao,30,Sim,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Sim,Mailed check,64.5,1888.45
0098-BOWSO,Nao,Masculino,0,Nao,Nao,27,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Electronic check,19.4,529.8
0100-DUVFC,Nao,Masculino,1,Sim,Nao,70,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Sim,Electronic check,104.8,7308.95
0103-CSITQ,Nao,Feminino,0,Sim,Nao,57,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Sim,Bank transfer (automatic),109.4,6252.7
0104-PPXDV,Nao,Masculino,0,Sim,Nao,58,Sim,No,DSL,No,No,Yes,No,No,No,One year,Nao,Credit card (automatic),50.3,2878.55
0106-GHRQR,Nao,Masculino,0,Nao,Nao,16,Sim,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Sim,Bank transfer (automatic),71.4,1212.1
0106-UGRDO,Nao,Feminino,0,Sim,Nao,69,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Electronic check,116.0,8182.85
0107-WESLM,Sim,Masculino,0,Nao,Nao,1,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Electronic check,19.85,19.85
0107-YHINA,Sim,Masculino,0,Nao,Sim,1,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,99.75,99.75
0111-KLBQG,Nao,Masculino,1,Sim,Sim,32,Sim,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Mailed check,93.95,2861.45
0112-QAWRZ,Nao,Masculino,0,Sim,Sim,16,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Sim,Bank transfer (automatic),90.8,1442.2
0112-QWPNC,Sim,Masculino,0,Sim,Nao,49,Sim,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Nao,Electronic check,84.35,4059.35
0114-IGABW,Nao,Feminino,0,Sim,Nao,71,Nao,Sem servico de telefone,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Bank transfer (automatic),58.25,4145.9
0114-PEGZZ,Nao,Feminino,0,Nao,Nao,33,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Nao,Electronic check,107.55,3645.5
0114-RSRRW,Nao,Feminino,0,Sim,Nao,10,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Bank transfer (automatic),19.95,187.75
0115-TFERT,Sim,Masculino,0,Sim,Nao,21,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Sim,Electronic check,111.2,2317.1
0117-LFRMW,Sim,Masculino,0,Sim,Sim,37,Nao,Sem servico de telefone,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Nao,Bank transfer (automatic),40.2,1448.8
0118-JPNOY,Nao,Feminino,1,Nao,Nao,26,Sim,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Sim,Credit card (automatic),85.8,2193.65
0121-SNYRK,Nao,Masculino,0,Nao,Nao,50,Nao,Sem servico de telefone,DSL,Yes,No,No,Yes,No,No,One year,Sim,Mailed check,35.4,1748.9
0122-OAHPZ,Sim,Feminino,0,Nao,Nao,7,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,73.85,511.25
0123-CRBRT,Nao,Feminino,0,Sim,Sim,61,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Mailed check,88.1,5526.75
0125-LZQXK,Sim,Masculino,0,Nao,Nao,15,Sim,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Sim,Electronic check,101.35,1553.95
0128-MKWSG,Nao,Feminino,0,Nao,Sim,26,Nao,Sem servico de telefone,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Nao,Mailed check,45.8,1147.0
0129-KPTWJ,Nao,Masculino,0,Sim,Nao,72,Sim,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,94.65,6747.35
0129-QMPDR,Nao,Masculino,0,Sim,Sim,44,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Sim,Bank transfer (automatic),20.5,865.05
0130-SXOUN,Nao,Masculino,0,Nao,Nao,66,Sim,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Nao,Credit card (automatic),89.4,5976.9
0133-BMFZO,Sim,Feminino,0,Nao,Nao,2,Sim,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Sim,Electronic check,86.25,181.65
0134-XWXCE,Nao,Feminino,1,Nao,Nao,44,Sim,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Nao,Bank transfer (automatic),74.85,3268.05
0135-NMXAP,Sim,Feminino,0,Nao,Nao,12,Sim,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Sim,Bank transfer (automatic),89.75,1052.4
0136-IFMYD,Nao,Masculino,1,Sim,Nao,69,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Electronic check,109.95,7634.25
0137-OCGAB,Sim,Feminino,0,Nao,Nao,1,Sim,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Sim,Mailed check,80.2,80.2
0137-UDEUO,Sim,Feminino,0,Nao,Nao,3,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.85,63.75
0139-IVFJG,Nao,Feminino,0,Sim,Nao,2,Sim,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Nao,Electronic check,90.35,190.5
0141-YEAYS,Nao,Feminino,1,Nao,Nao,27,Sim,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Sim,Bank transfer (automatic),86.45,2401.05
0142-GVYSN,Nao,Masculino,0,Nao,Nao,26,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Electronic check,20.3,511.25
0147-ESWWR,Nao,Feminino,1,Sim,Nao,39,Sim,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Electronic check,101.25,3949.15
0148-DCDOS,Sim,Masculino,0,Nao,Nao,25,Sim,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Bank transfer (automatic),94.7,2362.1
0151-ONTOV,Sim,Feminino,0,Nao,Nao,1,Sim,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Nao,Mailed check,70.9,70.9
0156-FVPTA,Sim,Masculino,0,Sim,Nao,22,Sim,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Sim,Electronic check,54.2,1152.7
0164-APGRB,Nao,Feminino,0,Nao,Nao,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Electronic check,114.9,8496.7
0164-XAIRP,Nao,Feminino,0,Nao,Nao,24,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Sim,Bank transfer (automatic),19.55,470.2
0168-XZKBB,Nao,Feminino,0,Sim,Nao,19,Sim,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sim,Electronic check,86.85,1564.4
0174-QRVVY,Nao,Masculino,0,Sim,Sim,71,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),25.35,1847.55
0177-PXBAT,Nao,Masculino,1,Sim,Nao,33,Sim,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Sim,Bank transfer (automatic),109.9,3694.7
0178-CIIKR,Nao,Feminino,0,Nao,Nao,3,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.95,58.0
0178-SZBHO,Nao,Masculino,0,Sim,Sim,47,Sim,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Nao,Electronic check,87.2,4017.45
0181-RITDD,Nao,Masculino,0,Sim,Sim,62,Sim,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Mailed check,108.15,6825.65
0186-CAERR,Nao,Masculino,0,Nao,Nao,71,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Sim,Bank transfer (automatic),116.3,8309.55
0187-QSXOE,Nao,Masculino,1,Sim,Nao,7,Sim,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,89.0,605.45
0187-WZNAB,Nao,Feminino,0,Sim,Sim,27,Sim,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Nao,Mailed check,74.4,1972.35
0188-GWFLE,Nao,Masculino,0,Nao,Nao,2,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,20.05,33.7
0191-EQUUH,Nao,Feminino,0,Nao,Sim,25,Nao,Sem servico de telefone,DSL,Yes,No,No,Yes,No,No,Two year,Nao,Bank transfer (automatic),35.05,844.45
0191-ZHSKZ,Nao,Masculino,1,Nao,Nao,30,Sim,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,74.75,2111.3
0193-ESZXP,Sim,Feminino,1,Sim,Nao,58,Sim,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Sim,Credit card (automatic),105.5,6205.5
0195-IESCP,Sim,Masculino,0,Sim,Nao,10,Sim,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Sim,Electronic check,85.25,855.3
0196-JTUQI,Nao,Feminino,0,Nao,Nao,9,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Credit card (automatic),75.2,633.85
0196-VULGZ,Sim,Feminino,1,Sim,Nao,6,Sim,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Sim,Electronic check,84.35,474.9
0197-PNKNK,Nao,Feminino,0,Sim,Sim,69,Sim,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Nao,Bank transfer (automatic),84.45,5848.6
0201-MIBOL,Nao,Feminino,1,Nao,Nao,66,Sim,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Sim,Bank transfer (automatic),102.4,6471.85
0201-OAMXR,Sim,Feminino,0,Nao,Nao,70,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Nao,Credit card (automatic),115.55,8127.6
0203-HHYIJ,Sim,Masculino,0,Nao,Nao,25,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Bank transfer (automatic),25.3,676.35
0206-OYVOC,Nao,Feminino,0,Sim,Sim,46,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Sim,Mailed check,19.25,864.2
0206-TBWLC,Nao,Feminino,0,Sim,Nao,54,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Sim,Mailed check,114.65,6049.5
0207-MDKNV,Sim,Feminino,0,Nao,Nao,15,Sim,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Nao,Electronic check,105.1,1582.75
0208-BPQEJ,Nao,Feminino,0,Sim,Sim,12,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Bank transfer (automatic),19.4,198.1
0212-ISBBF,Nao,Feminino,0,Nao,Nao,22,Nao,Sem servico de telefone,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,50.35,1098.85
0214-JHPFW,Nao,Feminino,0,Sim,Nao,70,Nao,Sem servico de telefone,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Bank transfer (automatic),57.8,4039.3
0215-BQKGS,Nao,Masculino,0,Nao,Nao,30,Sim,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Sim,Credit card (automatic),84.3,2438.6
0218-QNVAS,Nao,Masculino,0,Sim,Sim,71,Sim,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Nao,Bank transfer (automatic),100.55,7113.75
0219-QAERP,Nao,Masculino,0,Sim,Nao,30,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Credit card (automatic),19.8,576.65
0219-YTZUE,Sim,Masculino,0,Sim,Sim,4,Sim,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Sim,Bank transfer (automatic),84.8,371.9
0220-EBGCE,Sim,Masculino,0,Nao,Nao,2,Sim,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Sim,Electronic check,85.85,167.3
0221-NAUXK,Nao,Masculino,0,Nao,Sim,10,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Sim,Bank transfer (automatic),19.95,219.5
0221-WMXNQ,Nao,Masculino,1,Nao,Nao,4,Sim,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Nao,Electronic check,75.35,273.4
0222-CNVPT,Nao,Masculino,1,Nao,Nao,52,Nao,Sem servico de telefone,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Sim,Credit card (automatic),48.8,2555.05
0224-HJAPT,Sim,Masculino,0,Nao,Nao,5,Sim,Yes,DSL,No,No,No,No,No,No,Month-to-month,Nao,Electronic check,47.15,223.15
0224-NIJLP,Nao,Masculino,0,Sim,Sim,8,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,20.15,165.5
0224-RLWWD,Nao,Feminino,1,Nao,Nao,2,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,44.3,89.3
0225-ZORZP,Nao,Masculino,0,Nao,Nao,3,Sim,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Nao,Electronic check,84.3,235.05
0228-MAUWC,Nao,Masculino,0,Nao,Nao,19,Sim,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Nao,Electronic check,59.55,1144.6
0229-LFJAF,Nao,Masculino,0,Nao,Nao,72,Sim,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Nao,Bank transfer (automatic),69.65,4908.25
0230-UBYPQ,Nao,Masculino,1,Sim,Nao,63,Nao,Sem servico de telefone,DSL,Yes,No,No,Yes,No,No,One year,Nao,Bank transfer (automatic),36.1,2298.9
0230-WEQUW,Nao,Masculino,0,Sim,Nao,66,Nao,Sem servico de telefone,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Sim,Bank transfer (automatic),56.6,3789.2
0231-LXVAP,Sim,Masculino,0,Nao,Nao,1,Sim,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Sim,Electronic check,75.9,75.9
0233-FTHAV,Nao,Feminino,0,Nao,Nao,60,Sim,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Sim,Bank transfer (automatic),79.2,4765.0
0234-TEVTT,Nao,Feminino,0,Sim,Sim,48,Nao,Sem servico de telefone,DSL,Yes,No,Yes,No,No,Yes,One year,Nao,Credit card (automatic),45.0,2196.3
0235-KGSLC,Sim,Feminino,0,Nao,Nao,1,Sim,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Sim,Credit card (automatic),85.55,85.55
0236-HFWSV,Sim,Masculino,0,Nao,Nao,15,Sim,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,93.35,1444.65
0237-YFUTL,Nao,Feminino,0,Sim,Nao,50,Sim,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Sim,Bank transfer (automatic),109.65,5405.8
0238-WHBIQ,Nao,Masculino,0,Sim,Sim,72,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Credit card (automatic),89.7,6339.3
